video_id,title,query
3foYyPDp0Ho,"Summer of Math Exposition #4 | Teachers, I'd love to hear from you",How to learn how the community of mathematicians works
Dlsa9EBKDGI,Where my explanation of Grover’s algorithm failed,quantum algorithms 
RQWpF2Gb-gU,But what is quantum computing?  (Grover's Algorithm),quantum computing
XX8mjBXBqz8,Testing your intuition for quantum computing, quantum computing 
aQwEJKWATlE,How to measure nearby galaxies,distances between galaxies
aw-8BhCilj0,Measuring the distance to Venus without radar,distances between planets
M6LUPYsjods,Measuring the speed of light using Jupiter's moons
mHya9J9pkq4,The tragic tale of Guillaume Le Gentil,Tajican stories of scientists
C8baNzpnZ7o,Zooming out by powers of 10,galaxies
6dTyOl1fmDo,There's more to those colliding blocks that compute pi,calculation of pi
TZAC0WFemvE,When being beautifully wrong leads to discovery,Keppler astronomy
YP1mMXRCnaI,Why the ancient Greeks rejected heliocentrism,heliocentrism
gzbFNnTCkqQ,How to estimate the distance to the sun,distance between the Earth and the Sun
drmphB3rdHY,How Aristarchus deduced the distance to the moon,first estimates of the distance to the moon
hFMaT9oRbs4,How to measure the universe | The Cosmic Distance Ladder Part 2,how to measure astronomical things
9s0srZneJ38,How Earth's size was computed by Eratosthenes,first astronomical measurements
YdOXS_9_P4U,Terence Tao on how we measure the cosmos | The Distance Ladder Part 1,how to measure the universe
uT4-WVa-YfU,Measuring the earth with Terence Tao,how to measure the universe
K-pGGb0f3tc,The topology of two-note chords,music and mathematics
0TdBP9m4R74,The barber pole optical mystery,optical experiments
zxOK2vKVfQM,Monge's Theorem,geometry puzzle
DgMhayP2NPU,Thinking through double slits,quantum experiments
LuVUnd0C07U,The inscribed square problem,geometric problems
IQqtsm-bBRU,This open problem taught me what topology is,topology
y9BK--OxZpY,The meaning within the Mandelbrot set,fractals
qSn8dVI9V5I,The scale of training LLMs,LLMs training
LPZh9BOjkQs,Large Language Models explained briefly,LLMs 
nAT-MCsJeik,This puzzle is trickier than it seems,geometric problems
EPDZTLavmcg,Sphere surface area proof sketch,visualizations of geometry
LOulCFdVOGY,Newton’s Fractal is beautiful,fractal beauty
JNVZK4ofW-Y,The Triangle Of Power,Alternate notation for powers
0W243LGSJFU,The twirling tiles puzzle,geometry puzzle
Pny70rNPJLk,A bizarre probability fact,implications of the central limit theorem
piJkuavhV50,Five puzzles for thinking outside the box,geometry puzzles
KHEtJUlpqcg,LLMs are next-word predictors,language models
rbu7Zu5X1zI,How I animate 3Blue1Brown | A Manim demo with Ben Sparks,programming animations
W3-kpRz-e1Q,Hologram preview,more optical experiments
DnjATyPuFFk,Holograms are wild (full video linked above),optical experiment
EmKQsSDlaa4,How are holograms possible?,holograms
9-Jl0dxWQs8,How might LLMs store facts | DL7,storage in the llms
rjVY7HXN6qA,In the vector space of all advice...,linear algebra topics
W3I3kAg2J7w,What &quot;Follow Your Dreams&quot; Misses | Harvey Mudd Commencement Speech 2024,motivational 
XsLK3tPy9SI,Temperature in LLMs,stochasticity in LLMs
FJtFZwbvkI4,How word vectors encode meaning,word vectors
eMlx5fFNoYc,"Attention in transformers, step-by-step | DL6",attention in transformers
wjZofJX0v4M,Transformers (how LLMs work) explained visually | DL5,transformers
81QNyDnYtg0,Simulating the electric field and a moving charge,electric fields
-ikRg-OfFHc,A challenging puzzle about subset sums,Olympiad problems
-3jPW_TGATI,"Ellipses have multiple definitions, how are these the same?",definition of ellipse
w-CXIqIjfRI,Three levels of understanding Bayes' theorem,important theorems in probability
xIMlJUwB1m8,The medical test paradox (well &quot;paradox&quot;),paradoxes
IstyL9vnybg,"Positioned as the hardest question on a Putnam exam  (#6, 1992)",Olympiad problems 
DWnb2UUlqd0,Why does light slowing imply a bend? (Beyond the tank/car analogy),Huygens-Fresnel construction
U3O1nzSojnc,The cube shadow puzzle,What's the average area of a cube's shadow?
XIW-2ykgVPI,What does it mean that light &quot;slows down&quot; in glass?,ligth wave
vItzPPpNXEs,Why do we call them &quot;scalars&quot;?,Linear algebra topics
teYL0Er4c3g,A beautiful international math olympiad problem,Olympiad problems
BTryyW7gqg4,"Definition of a &quot;bit&quot;, in information theory",bit
kpG7I2MOcnI,The Newton art puzzle,art with math
3KbiJ-z0j44,What is a group?,group theory
R1e7aHBKLnM,How to derive a formula for π,pi
tjIOqIr80ns,The limit of limiting arguments,curiosities about pi
W1gW1dHRsOw,For anyone who might not know how links in shorts work,links
p9i3cYMQtBY,Infinite Lighthouses and π,pi
X4jpqCu-wlA,Can you even imagine 2^256?,constant e
GOSezO0CHss,Order from chaos,chaos theory
TaopSi3Ucfc,A short on shorts,Mandelbrot
BIbHGfdjc_g,A pretty way to add weighted dice,probability facts
4xWpQe3G9qI,A simple image convolution,image processing
VS9yOhwtVDY,"These integrals all equal π, until...",series about pi
Cm-zmm0nANo,The split necklace puzzle (with a surprise topological solution),geometry puzzles
yZMw2rOKYwE,Error correction is incredible,error correction codes
NQFIU5Exjuo,The chessboard and coins puzzle,An information puzzle with
h2V3r7oBeMI,Prime spirals,prime numbers
31xm81m0iYs,The barber pole effect,The barber pole effect of shining polarized light into sugar water.
nXIHYB0Gp70,Fourier series,Fourier transformation
1tLvj_HSjPk,Seeing with sound,music and mathematics
GSIuXqgPsnY,How prisms work (full video linked above),short about prisms
